protocol,networks,callHandlers,ipfs,blockHandlers,dynamicContracts,contractCalls
"  - portal-bsc",1,false,false,false,false,false
"  - portal-ethereum",1,false,false,false,false,false
"  - portal-fantom",1,false,false,false,false,false
"  - portal-polygon",1,false,false,false,false,false
"  - powh3d-ethereum",1,false,false,false,false,false
"  - prime-staked-eth-ethereum",1,false,false,false,false,false
"  - puffer-finance-ethereum",1,false,false,false,false,false
"  - qidao-arbitrum",1,false,false,false,false,false
"  - qidao-avalanche",1,false,false,false,false,false
"  - qidao-base",1,false,false,false,false,false
"  - qidao-bsc",1,false,false,false,false,false
"  - qidao-ethereum",1,false,false,false,false,false
"  - qidao-fantom",1,false,false,false,false,false
"  - qidao-gnosis",1,false,false,false,false,false
"  - qidao-harmony",1,false,false,false,false,false
"  - qidao-moonriver",1,false,false,false,false,false
"  - qidao-optimism",1,false,false,false,false,false
"  - qidao-polygon",1,false,false,false,false,false
"  - quickswap-polygon",1,false,false,false,false,false
"  - quickswap-swap-polygon",1,false,false,false,false,false
"  - radiant-capital-arbitrum",1,false,false,false,false,false
"  - radiant-capital-v2-arbitrum",1,false,false,false,false,false
"  - radiant-capital-v2-bsc",1,false,false,false,false,false
"  - radicle-governance-ethereum",1,false,false,false,false,false
"  - rari-fuse-arbitrum",1,false,false,false,false,false
"  - rari-fuse-ethereum",1,false,false,false,false,false
"  - rari-vaults-ethereum",1,false,false,false,false,false
"  - rarible-governance-ethereum",1,false,false,false,false,false
"  - reflexer-governance-ethereum",1,false,false,false,false,false
"  - renzo-arbitrum",1,false,false,false,false,false
"  - renzo-base",1,false,false,false,false,false
"  - renzo-blast",1,false,false,false,false,false
"  - renzo-bsc",1,false,false,false,false,false
"  - renzo-ethereum",1,false,false,false,false,false
"  - renzo-mode",1,false,false,false,false,false
"  - ribbon-finance-avalanche",1,false,false,false,false,false
"  - ribbon-finance-ethereum",1,false,false,false,false,false
"  - ring-few-blast",1,false,false,false,false,false
"  - rocket-pool-ethereum",1,false,false,false,false,false
"  - saddle-finance-arbitrum",1,false,false,false,false,false
"  - saddle-finance-ethereum",1,false,false,false,false,false
"  - saddle-finance-fantom",1,false,false,false,false,false
