
> find-dynamic-contracts
> ts-node scripts/find-dynamic-contracts.ts

project,file,lineNumber,line
uniswap-forks,subgraphs/uniswap-forks/protocols/pangolin/config/templates/pangolin.template.yaml,65,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/quickswap/config/templates/quickswap.template.yaml,43,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/solarbeam/config/templates/solarbeam.template.yaml,57,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/spiritswap/config/templates/spiritswap.template.yaml,57,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/spookyswap/config/templates/spookyswap.template.yaml,91,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/sushiswap/config/templates/sushiswap.alt.template.yaml,65,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/sushiswap/config/templates/sushiswap.mainnet.template.yaml,89,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/sushiswap/config/templates/uniswap.v2.template.yaml,43,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/trader-joe/config/templates/trader.joe.template.yaml,98,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/trisolaris/config/templates/trisolaris.template.yaml,89,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/ubeswap/config/templates/ubeswap-template.yaml,59,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/uniswap-v2/config/templates/uniswap.v2.template.yaml,43,"templates:"
uniswap-forks,subgraphs/uniswap-forks/protocols/vvs-finance/config/templates/vvs.finance.template.yaml,66,"templates:"
uniswap-forks-swap,subgraphs/uniswap-forks-swap/protocols/baseswap-swap/config/templates/baseswap.swap.template.yaml,40,"templates:"
uniswap-forks-swap,subgraphs/uniswap-forks-swap/protocols/pancakeswap-v2-swap/config/templates/pancakeswap.v2.swap.template.yaml,40,"templates:"
uniswap-forks-swap,subgraphs/uniswap-forks-swap/protocols/quickswap-swap/config/templates/quickswap.swap.template.yaml,40,"templates:"
uniswap-forks-swap,subgraphs/uniswap-forks-swap/protocols/spookyswap-swap/config/templates/spookyswap.swap.template.yaml,40,"templates:"
uniswap-forks-swap,subgraphs/uniswap-forks-swap/protocols/uniswap-v2-swap/config/templates/uniswap.v2.swap.template.yaml,40,"templates:"
uniswap-v3-forks,subgraphs/uniswap-v3-forks/protocols/iguanadex-v3/config/templates/iguanadexV3Template.yaml,82,"templates:"
uniswap-v3-forks,subgraphs/uniswap-v3-forks/protocols/pancakeswap-v3/config/templates/pancakeswapV3Template.yaml,82,"templates:"
uniswap-v3-forks,subgraphs/uniswap-v3-forks/protocols/sushiswap-v3/config/templates/sushiswapV3Template.yaml,82,"templates:"
uniswap-v3-forks,subgraphs/uniswap-v3-forks/protocols/uniswap-v3/config/templates/uniswapV3Template.yaml,82,"templates:"
uniswap-v3-forks-swap,subgraphs/uniswap-v3-forks-swap/protocols/pancakeswap-v3-swap/config/templates/pancakeswap.v3.swap.template.yaml,48,"templates:"
uniswap-v3-forks-swap,subgraphs/uniswap-v3-forks-swap/protocols/sushiswap-v3-swap/config/templates/sushiswap.v3.swap.template.yaml,48,"templates:"
uniswap-v3-forks-swap,subgraphs/uniswap-v3-forks-swap/protocols/uniswap-v3-swap/config/templates/uniswap.v3.swap.template.yaml,48,"templates:"
velodrome-finance,subgraphs/velodrome-finance/protocols/velodrome-finance-v1/config/templates/velodrome.finance.v1.template.yaml,78,"templates:"
velodrome-finance,subgraphs/velodrome-finance/protocols/velodrome-finance-v2/config/templates/velodrome.finance.v2.template.yaml,76,"templates:"
vesper-finance,subgraphs/vesper-finance/protocols/vesper-finance/config/templates/vesper.finance.template.yaml,95,"templates:"
vesta-finance,subgraphs/vesta-finance/protocols/vesta-finance/config/templates/vesta.finance.template.yaml,264,"templates:"
yearn-v2,subgraphs/yearn-v2/protocols/yearn-v2/config/templates/yearn.v2.template.yaml,253,"templates:"

Summary:
Total dynamic contracts found: 118
Projects with dynamic contracts: 54 / 171

Projects with dynamic contracts:
- aave-forks
- abracadabra
- arrakis-finance
- aura-finance
- badgerdao
- balancer-forks
- bancor-v3
- belt-finance
- chainlink-staking
- compound-forks
- compound-v3
- convex-finance
- curve-finance
- ellipsis-finance
- erc20
- etherfi
- gamma-strategies
- gmx-forks
- goldfinch
- inverse-finance
- karak
- kwenta
- maker-governance
- makerdao
- maple-finance-v1
- maple-finance-v2
- morpho
- morpho-blue
- multichain
- nexus-mutual
- optimism-bridge-v2
- opyn-gamma
- platypus-finance
- qidao
- ribbon-finance
- ring-few
- rocket-pool
- saddle-finance
- stakedao
- stakewise-v2
- stargate
- suzaku
- symbiotic
- tenderize-v2
- tokemak
- truefi
- uniswap-forks
- uniswap-forks-swap
- uniswap-v3-forks
- uniswap-v3-forks-swap
- velodrome-finance
- vesper-finance
- vesta-finance
- yearn-v2
